APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0015 - Level II Debridement & Destruction,SC,7712,501.32,126.29
0015 - Level II Debridement & Destruction,SD,8295,298.3,127.76
0015 - Level II Debridement & Destruction,TN,12957,506.82,120.08
0015 - Level II Debridement & Destruction,TX,36388,654.05,125.57
0015 - Level II Debridement & Destruction,UT,5578,399.67,130.23
0015 - Level II Debridement & Destruction,VA,14479,434.62,128.94
0015 - Level II Debridement & Destruction,VT,3468,348.42,136.29
0015 - Level II Debridement & Destruction,WA,14554,379.47,143.24
0015 - Level II Debridement & Destruction,WI,24728,357.33,132.89
0015 - Level II Debridement & Destruction,WV,2750,469.18,124.51
0015 - Level II Debridement & Destruction,WY,2400,531.79,135.57
0017 - Level IV Debridement & Destruction,AL,35,9641.87,1096.8
0017 - Level IV Debridement & Destruction,AR,24,6788.84,1149.32
0017 - Level IV Debridement & Destruction,CA,169,10353.64,1674.33
0017 - Level IV Debridement & Destruction,CT,35,6299.22,1430.21
0017 - Level IV Debridement & Destruction,FL,81,14588.88,1200.91
0017 - Level IV Debridement & Destruction,GA,51,7949.77,1113.96
0017 - Level IV Debridement & Destruction,IA,11,10438.34,1132.97
0017 - Level IV Debridement & Destruction,ID,12,4107.14,1218.06
0017 - Level IV Debridement & Destruction,IL,86,8238.52,1243.21
0017 - Level IV Debridement & Destruction,IN,33,8846.73,1183.8
0017 - Level IV Debridement & Destruction,KY,41,9062.72,1131.29
0017 - Level IV Debridement & Destruction,LA,19,7732.04,1079.92
0017 - Level IV Debridement & Destruction,MA,81,3804.72,1470.54
0017 - Level IV Debridement & Destruction,ME,40,1881.68,1240.41
0017 - Level IV Debridement & Destruction,MI,97,5917.43,1214.65
0017 - Level IV Debridement & Destruction,MN,44,5895.06,1339.99
0017 - Level IV Debridement & Destruction,MO,49,7578.53,1157.48
0017 - Level IV Debridement & Destruction,MS,16,10442.64,1121.86
0017 - Level IV Debridement & Destruction,NC,70,7128.61,1157.03
0017 - Level IV Debridement & Destruction,ND,15,2002.47,1267.12
0017 - Level IV Debridement & Destruction,NH,11,3985.58,1375.96
0017 - Level IV Debridement & Destruction,NJ,30,10392.39,1446.67
0017 - Level IV Debridement & Destruction,NM,11,4639.77,1296.23
0017 - Level IV Debridement & Destruction,NY,86,5471.65,1302.12
0017 - Level IV Debridement & Destruction,OH,66,8539.35,1186.04
0017 - Level IV Debridement & Destruction,OK,13,17765.65,1204.65
0017 - Level IV Debridement & Destruction,PA,85,11608.48,1209.9
0017 - Level IV Debridement & Destruction,SC,37,8929.03,1138.5
0017 - Level IV Debridement & Destruction,SD,12,6584.18,1289.61
0017 - Level IV Debridement & Destruction,TN,58,8969.85,1123.16
0017 - Level IV Debridement & Destruction,TX,140,6092.91,1152.35
0017 - Level IV Debridement & Destruction,VA,48,13596.68,1177.35
0017 - Level IV Debridement & Destruction,WA,31,6628.35,1375.01
0017 - Level IV Debridement & Destruction,WI,34,4305.21,1266.53
0017 - Level IV Debridement & Destruction,WV,17,6342.45,1044.04
0019 - Level I Excision/ Biopsy,AK,30,1193.53,454.49
0019 - Level I Excision/ Biopsy,AL,341,4911.15,301
0019 - Level I Excision/ Biopsy,AR,202,2813.09,313.22
0019 - Level I Excision/ Biopsy,AZ,93,4372.25,329.86
0019 - Level I Excision/ Biopsy,CA,633,5724.01,450.3
0019 - Level I Excision/ Biopsy,CO,144,2394.85,341.97
0019 - Level I Excision/ Biopsy,CT,149,2780.66,408.45
0019 - Level I Excision/ Biopsy,DC,39,4388.23,367.31
0019 - Level I Excision/ Biopsy,DE,42,2082.45,371.9
0019 - Level I Excision/ Biopsy,FL,400,6909.55,344.96
0019 - Level I Excision/ Biopsy,GA,240,4012.79,342.86
0019 - Level I Excision/ Biopsy,HI,36,1149.22,421.79
0019 - Level I Excision/ Biopsy,IA,282,1037.89,330.97
0019 - Level I Excision/ Biopsy,ID,279,316.36,333.72
0019 - Level I Excision/ Biopsy,IL,932,2946.89,358.29
0019 - Level I Excision/ Biopsy,IN,273,5428.36,350.38
0019 - Level I Excision/ Biopsy,KS,94,3454.31,331.03
0019 - Level I Excision/ Biopsy,KY,290,5031.77,330.44
0019 - Level I Excision/ Biopsy,LA,237,3384.49,305.23
0019 - Level I Excision/ Biopsy,MA,721,1894.84,434.25
0019 - Level I Excision/ Biopsy,ME,609,766.52,351.32
0019 - Level I Excision/ Biopsy,MI,820,1798.49,349.17
0019 - Level I Excision/ Biopsy,MN,1211,752.39,366.29
0019 - Level I Excision/ Biopsy,MO,516,2197.84,331.58
0019 - Level I Excision/ Biopsy,MS,92,4807.22,303.84
0019 - Level I Excision/ Biopsy,MT,277,389,347.02
0019 - Level I Excision/ Biopsy,NC,442,2531.1,319.8
0019 - Level I Excision/ Biopsy,ND,571,623.85,348.71
0019 - Level I Excision/ Biopsy,NE,26,6502.84,357.61
0019 - Level I Excision/ Biopsy,NH,354,957.67,389.8
0019 - Level I Excision/ Biopsy,NJ,247,5730.55,414.12
0019 - Level I Excision/ Biopsy,NM,147,1879.18,328.57
0019 - Level I Excision/ Biopsy,NY,1047,2027.04,366.21
0019 - Level I Excision/ Biopsy,OH,1019,2311.84,331.08
0019 - Level I Excision/ Biopsy,OK,169,2807.53,304.2
0019 - Level I Excision/ Biopsy,OR,170,1279.91,373.14
0019 - Level I Excision/ Biopsy,PA,688,4117.22,336.5
0019 - Level I Excision/ Biopsy,RI,78,2558.35,405.62
0019 - Level I Excision/ Biopsy,SC,136,5291.59,308.05
0019 - Level I Excision/ Biopsy,SD,441,528.94,353.05
0019 - Level I Excision/ Biopsy,TN,168,4861.35,313.52
0019 - Level I Excision/ Biopsy,TX,1049,3286.05,326.67
0019 - Level I Excision/ Biopsy,UT,88,1493.51,349.15
0019 - Level I Excision/ Biopsy,VA,782,2157.44,326.79
0019 - Level I Excision/ Biopsy,VT,161,912.3,375.29
