APC,Prov_State,OutptSvcs,AvgEstSubChg,AvgTotPay
0203 - Level IV Nerve Injections,VT,214,7657,1408.58
0203 - Level IV Nerve Injections,WA,999,4530.42,1270.31
0203 - Level IV Nerve Injections,WI,1091,3414.07,1240.68
0203 - Level IV Nerve Injections,WV,973,4885.65,1246.11
0203 - Level IV Nerve Injections,WY,212,4004.23,1103.19
0204 - Level I Nerve Injections,AK,259,998.58,242.96
0204 - Level I Nerve Injections,AL,3010,1798.43,170.81
0204 - Level I Nerve Injections,AR,2364,866.74,179.41
0204 - Level I Nerve Injections,AZ,3388,1200.56,201.09
0204 - Level I Nerve Injections,CA,27875,1124.45,238.55
0204 - Level I Nerve Injections,CO,4380,986.37,197.67
0204 - Level I Nerve Injections,CT,2446,1289.1,233.37
0204 - Level I Nerve Injections,DC,1269,686.16,192.58
0204 - Level I Nerve Injections,DE,340,663.47,209.28
0204 - Level I Nerve Injections,FL,9315,1218.81,184.58
0204 - Level I Nerve Injections,GA,3742,1358.76,184.26
0204 - Level I Nerve Injections,HI,895,241.86,231.84
0204 - Level I Nerve Injections,IA,7063,723.72,183.19
0204 - Level I Nerve Injections,ID,4391,340.33,191.81
0204 - Level I Nerve Injections,IL,20073,961.63,187.04
0204 - Level I Nerve Injections,IN,3824,1858.19,192.24
0204 - Level I Nerve Injections,KS,4722,1120.88,184.8
0204 - Level I Nerve Injections,KY,4385,1249.38,178.85
0204 - Level I Nerve Injections,LA,2852,1017.61,173.17
0204 - Level I Nerve Injections,MA,16899,790.9,228.59
0204 - Level I Nerve Injections,ME,6821,316.63,190.34
0204 - Level I Nerve Injections,MI,17713,658.48,190.89
0204 - Level I Nerve Injections,MN,11047,589.04,199.12
0204 - Level I Nerve Injections,MO,11940,938.27,183.45
0204 - Level I Nerve Injections,MS,4703,721.23,165.71
0204 - Level I Nerve Injections,MT,3265,361.7,201.23
0204 - Level I Nerve Injections,NC,11270,905.24,179.45
0204 - Level I Nerve Injections,ND,8134,301.56,197.94
0204 - Level I Nerve Injections,NE,1387,1395.84,200.85
0204 - Level I Nerve Injections,NH,3918,752.87,215.46
0204 - Level I Nerve Injections,NJ,2132,1982.25,225.81
0204 - Level I Nerve Injections,NM,3247,613.86,189.35
0204 - Level I Nerve Injections,NV,526,1577.65,218.58
0204 - Level I Nerve Injections,NY,16530,1251.91,213.12
0204 - Level I Nerve Injections,OH,33240,735.26,182.26
0204 - Level I Nerve Injections,OK,3783,1373.03,178.81
0204 - Level I Nerve Injections,OR,3339,591.15,212.38
0204 - Level I Nerve Injections,PA,21357,958.32,184.97
0204 - Level I Nerve Injections,RI,428,1327.56,215.94
0204 - Level I Nerve Injections,SC,3595,1135.76,182.58
0204 - Level I Nerve Injections,SD,4743,839.9,196.61
0204 - Level I Nerve Injections,TN,4880,1156.29,178.35
0204 - Level I Nerve Injections,TX,17641,1349.38,186.74
0204 - Level I Nerve Injections,UT,2959,731.27,183.3
0204 - Level I Nerve Injections,VA,15195,701.52,182.98
0204 - Level I Nerve Injections,VT,3818,437.31,199.65
0204 - Level I Nerve Injections,WA,7095,611.15,214.03
0204 - Level I Nerve Injections,WI,16710,624.51,191.71
0204 - Level I Nerve Injections,WV,7484,601.33,174.98
0204 - Level I Nerve Injections,WY,452,1481.82,200.37
0206 - Level II Nerve Injections,AK,30,1971.31,366.26
0206 - Level II Nerve Injections,AL,1178,1413.37,336.73
0206 - Level II Nerve Injections,AR,853,1373.5,324.62
0206 - Level II Nerve Injections,AZ,896,1699.87,342.75
0206 - Level II Nerve Injections,CA,4045,2358.1,472.73
0206 - Level II Nerve Injections,CO,763,1975.73,361.43
0206 - Level II Nerve Injections,CT,991,1443.41,428.5
0206 - Level II Nerve Injections,DC,82,3002.36,344.76
0206 - Level II Nerve Injections,DE,90,904.68,376.47
0206 - Level II Nerve Injections,FL,2517,2117.77,352.52
0206 - Level II Nerve Injections,GA,979,2177.73,334.06
0206 - Level II Nerve Injections,HI,57,1230.06,369.76
0206 - Level II Nerve Injections,IA,933,1115.29,361.03
0206 - Level II Nerve Injections,ID,406,879.61,345.79
0206 - Level II Nerve Injections,IL,2181,1688.93,384.08
0206 - Level II Nerve Injections,IN,1157,1964.2,334.61
0206 - Level II Nerve Injections,KS,735,2086.91,324.59
0206 - Level II Nerve Injections,KY,1027,1954.92,343.42
0206 - Level II Nerve Injections,LA,621,2166.3,318.61
0206 - Level II Nerve Injections,MA,2593,1260.19,427.43
0206 - Level II Nerve Injections,ME,1062,431.79,344.53
0206 - Level II Nerve Injections,MI,2298,1201.73,363.59
0206 - Level II Nerve Injections,MN,1740,1569.48,374.77
0206 - Level II Nerve Injections,MO,1546,1281.22,332.66
0206 - Level II Nerve Injections,MS,975,1459.44,331.83
0206 - Level II Nerve Injections,MT,397,762.01,367.74
0206 - Level II Nerve Injections,NC,2529,1461.69,342.63
0206 - Level II Nerve Injections,ND,560,575.73,374.5
0206 - Level II Nerve Injections,NE,450,1442.85,383.68
0206 - Level II Nerve Injections,NH,813,1066.29,380.84
0206 - Level II Nerve Injections,NJ,979,2411.51,422.38
0206 - Level II Nerve Injections,NM,425,1200.4,360.73
0206 - Level II Nerve Injections,NV,109,3349.62,364.98
0206 - Level II Nerve Injections,NY,1779,2312.7,390.82
0206 - Level II Nerve Injections,OH,2987,1566,345.5
0206 - Level II Nerve Injections,OK,372,2327.69,298.91
0206 - Level II Nerve Injections,OR,476,1069.46,424.92
0206 - Level II Nerve Injections,PA,2194,2041.24,356.56
0206 - Level II Nerve Injections,RI,136,1359.17,406.54
0206 - Level II Nerve Injections,SC,1058,2086.06,328.94
0206 - Level II Nerve Injections,SD,384,1148.35,313.79
0206 - Level II Nerve Injections,TN,1829,1379.58,363.14
0206 - Level II Nerve Injections,TX,2710,2817.68,333.84
0206 - Level II Nerve Injections,UT,634,820.76,390.64
0206 - Level II Nerve Injections,VA,1745,1200.62,343.56
0206 - Level II Nerve Injections,VT,380,1337.23,402.64
0206 - Level II Nerve Injections,WA,1834,1187.45,420.38
0206 - Level II Nerve Injections,WI,2561,1181.88,378.81
0206 - Level II Nerve Injections,WV,870,981.57,313.11
0206 - Level II Nerve Injections,WY,73,1433.52,348.47
0207 - Level III Nerve Injections,AK,575,2587.44,719.56
0207 - Level III Nerve Injections,AL,21834,3392.74,542
0207 - Level III Nerve Injections,AR,13237,1973.5,570.33
0207 - Level III Nerve Injections,AZ,5826,2854.75,575.03
0207 - Level III Nerve Injections,CA,32627,4772.96,699.91
0207 - Level III Nerve Injections,CO,6524,2611.48,597.62
0207 - Level III Nerve Injections,CT,5751,2845.67,706.55
0207 - Level III Nerve Injections,DC,900,2283.11,641.43
0207 - Level III Nerve Injections,DE,1087,1902.28,631.99
0207 - Level III Nerve Injections,FL,21699,3054.26,567.97
0207 - Level III Nerve Injections,GA,11578,3062.57,568.91
0207 - Level III Nerve Injections,HI,480,2052.87,638.13
0207 - Level III Nerve Injections,IA,12997,2463.55,587.6
0207 - Level III Nerve Injections,ID,4067,1344.06,542.27
0207 - Level III Nerve Injections,IL,33300,2784.7,603.57
0207 - Level III Nerve Injections,IN,24785,3142.09,577.89
0207 - Level III Nerve Injections,KS,18708,2402.74,582.17
0207 - Level III Nerve Injections,KY,16325,2570.04,543.53
0207 - Level III Nerve Injections,LA,17387,3544.03,519.02
0207 - Level III Nerve Injections,MA,34623,1986.64,723.82
0207 - Level III Nerve Injections,ME,7222,1509.83,584.35
0207 - Level III Nerve Injections,MI,25845,2439.85,598.61
0207 - Level III Nerve Injections,MN,13317,1676.28,632.1
0207 - Level III Nerve Injections,MO,36718,2251.86,571.9
0207 - Level III Nerve Injections,MS,6212,3383.65,540.17
0207 - Level III Nerve Injections,MT,3800,1380.77,591.34
0207 - Level III Nerve Injections,NC,26368,2333.62,569.23
0207 - Level III Nerve Injections,ND,4624,1426.75,639.32
0207 - Level III Nerve Injections,NE,4946,1954.08,607.2
0207 - Level III Nerve Injections,NH,5556,2684.92,658.86
0207 - Level III Nerve Injections,NJ,8704,3830.16,684.33
0207 - Level III Nerve Injections,NM,4622,3526.97,569.58
0207 - Level III Nerve Injections,NV,2469,3283.56,642.86
0207 - Level III Nerve Injections,NY,31480,3477.28,671.96
0207 - Level III Nerve Injections,OH,45537,2406.44,545.6
0207 - Level III Nerve Injections,OK,20319,3137.82,546.51
0207 - Level III Nerve Injections,OR,3114,1704.93,531.96
0207 - Level III Nerve Injections,PA,33484,3591.08,597.13
0207 - Level III Nerve Injections,RI,2434,1988.76,649.45
0207 - Level III Nerve Injections,SC,13852,2300.96,569.51
0207 - Level III Nerve Injections,SD,10783,1961.65,610.34
0207 - Level III Nerve Injections,TN,8115,3054.65,535.32
0207 - Level III Nerve Injections,TX,50660,4376.96,554.15
0207 - Level III Nerve Injections,UT,3783,2349.07,558.22
0207 - Level III Nerve Injections,VA,15198,2867.2,589.79
0207 - Level III Nerve Injections,VT,3097,2323.63,624.26
0207 - Level III Nerve Injections,WA,13343,2178.05,611.43
0207 - Level III Nerve Injections,WI,19033,1855.49,601.45
0207 - Level III Nerve Injections,WV,9053,2193.55,531.94
0207 - Level III Nerve Injections,WY,2458,1881.94,550.1
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AL,213,1058.35,177.04
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AR,59,666.48,208.32
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",AZ,909,1102.37,222.08
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CA,831,1481.89,266.97
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CO,206,1858.08,220.16
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",CT,293,822.95,247.96
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",DC,77,597.18,226.13
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",FL,644,1391.4,200.32
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",GA,138,1512.8,192.07
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IA,284,1012.37,211.48
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ID,66,1184.68,171.06
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IL,986,1556.31,217.5
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",IN,272,1923.05,215.83
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",KS,123,1953.44,181.85
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",KY,199,1331.13,205.15
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",LA,191,1363.13,194.62
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MA,302,1214.01,265.33
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ME,110,630.88,211.18
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MI,544,1382.58,195.53
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MN,287,821.43,222.95
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MO,276,1536.34,211.34
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MS,386,1299.01,193.3
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",MT,112,893.51,226.71
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NC,320,1145.13,200.95
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",ND,109,891.95,221.79
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NE,69,1172.41,225.15
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NH,155,1223.72,240.43
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NJ,420,1966.27,248.14
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NM,176,1101.62,219.28
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NV,53,1885.59,239.7
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",NY,586,1148.13,232.45
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OH,556,1197.03,199.4
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OK,14,1309.37,201.49
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",OR,95,1155.24,235.78
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",PA,641,1941.38,221.51
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",SC,341,1236.62,195.56
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",SD,86,581.6,227.59
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",TN,288,1417.24,200.16
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",TX,851,1649.18,210.89
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",UT,180,824.58,204.65
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",VA,146,771.23,192.55
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WA,392,1342.3,227.94
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WI,155,1255.1,212.23
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WV,304,908.89,197.56
"0209 - Level II Extended EEG, Sleep, and Cardiovascular Studies",WY,17,1148.63,213.21
0231 - Level III Eye Tests & Treatments,AL,377,908.19,269.26
0231 - Level III Eye Tests & Treatments,AR,249,930.79,273.87
0231 - Level III Eye Tests & Treatments,AZ,178,1018.86,285.32
0231 - Level III Eye Tests & Treatments,CA,10487,700.88,389.78
0231 - Level III Eye Tests & Treatments,CO,3225,1513.25,312.92
0231 - Level III Eye Tests & Treatments,CT,14,1275.38,370.25
0231 - Level III Eye Tests & Treatments,DC,182,1187.96,311.38
0231 - Level III Eye Tests & Treatments,FL,1295,1947.77,291.42
0231 - Level III Eye Tests & Treatments,GA,637,1216.56,290.07
0231 - Level III Eye Tests & Treatments,HI,55,572.37,322.87
0231 - Level III Eye Tests & Treatments,IA,4325,594.27,300.03
0231 - Level III Eye Tests & Treatments,IL,4307,1089.7,303.49
0231 - Level III Eye Tests & Treatments,IN,81,3658.24,297.66
0231 - Level III Eye Tests & Treatments,KS,13,6177.38,278.12
0231 - Level III Eye Tests & Treatments,LA,1415,567.76,278.03
0231 - Level III Eye Tests & Treatments,MA,9474,626.99,368.63
0231 - Level III Eye Tests & Treatments,ME,4216,310.41,295.81
0231 - Level III Eye Tests & Treatments,MI,5084,711.93,301.05
0231 - Level III Eye Tests & Treatments,MN,11195,1184.62,326.17
0231 - Level III Eye Tests & Treatments,MO,414,650.5,282.77
0231 - Level III Eye Tests & Treatments,MT,2384,490.66,309.31
0231 - Level III Eye Tests & Treatments,NC,4556,1002.49,286.95
0231 - Level III Eye Tests & Treatments,ND,2649,575.15,328.36
0231 - Level III Eye Tests & Treatments,NH,1235,1135.88,349.07
0231 - Level III Eye Tests & Treatments,NJ,401,1644.55,358.53
0231 - Level III Eye Tests & Treatments,NM,323,676.69,304.31
0231 - Level III Eye Tests & Treatments,NY,2506,688.17,329.16
0231 - Level III Eye Tests & Treatments,OH,5369,1216.66,292.35
0231 - Level III Eye Tests & Treatments,OR,3462,956.74,336.44
0231 - Level III Eye Tests & Treatments,PA,5245,1395.15,302.57
0231 - Level III Eye Tests & Treatments,RI,61,922.77,339.02
0231 - Level III Eye Tests & Treatments,SC,678,487.72,285.69
0231 - Level III Eye Tests & Treatments,SD,18,347.16,292.8
0231 - Level III Eye Tests & Treatments,TN,1506,1023.75,283.68
0231 - Level III Eye Tests & Treatments,TX,5664,669.6,290.51
0231 - Level III Eye Tests & Treatments,UT,3332,530.23,299.01
0231 - Level III Eye Tests & Treatments,VA,1251,1143.45,286.53
0231 - Level III Eye Tests & Treatments,VT,1688,561.69,315.74
0231 - Level III Eye Tests & Treatments,WA,426,993.71,327.53
0231 - Level III Eye Tests & Treatments,WI,7864,588.16,302.45
0231 - Level III Eye Tests & Treatments,WV,1255,726.04,277.61
0265 - Level I Diagnostic and Screening Ultrasound,AK,473,427.81,107.14
0265 - Level I Diagnostic and Screening Ultrasound,AL,10732,608.9,77.84
0265 - Level I Diagnostic and Screening Ultrasound,AR,6917,309.88,80.76
0265 - Level I Diagnostic and Screening Ultrasound,AZ,5970,504.86,90.88
0265 - Level I Diagnostic and Screening Ultrasound,CA,37265,670.02,111.13
0265 - Level I Diagnostic and Screening Ultrasound,CO,7298,544,87.87
0265 - Level I Diagnostic and Screening Ultrasound,CT,15697,481.57,103.58
0265 - Level I Diagnostic and Screening Ultrasound,DC,2635,678.03,89.89
0265 - Level I Diagnostic and Screening Ultrasound,DE,3458,376.47,91.28
0265 - Level I Diagnostic and Screening Ultrasound,FL,34443,837.04,84.83
0265 - Level I Diagnostic and Screening Ultrasound,GA,16922,507.96,83.54
0265 - Level I Diagnostic and Screening Ultrasound,HI,1623,356.06,98.66
0265 - Level I Diagnostic and Screening Ultrasound,IA,4416,395.31,84.46
0265 - Level I Diagnostic and Screening Ultrasound,ID,2524,331.01,86.34
0265 - Level I Diagnostic and Screening Ultrasound,IL,30076,622.72,87.44
0265 - Level I Diagnostic and Screening Ultrasound,IN,13106,559.32,87.05
0265 - Level I Diagnostic and Screening Ultrasound,KS,4969,546.8,82.91
0265 - Level I Diagnostic and Screening Ultrasound,KY,9266,612.83,80.44
0265 - Level I Diagnostic and Screening Ultrasound,LA,8778,434.36,78.41
0265 - Level I Diagnostic and Screening Ultrasound,MA,20317,390.29,106.3
0265 - Level I Diagnostic and Screening Ultrasound,ME,3884,356.98,86.9
0265 - Level I Diagnostic and Screening Ultrasound,MI,22267,414.56,87.09
0265 - Level I Diagnostic and Screening Ultrasound,MN,6877,339.44,91.67
0265 - Level I Diagnostic and Screening Ultrasound,MO,15310,535.99,83.72
0265 - Level I Diagnostic and Screening Ultrasound,MS,6746,544.9,79.16
0265 - Level I Diagnostic and Screening Ultrasound,MT,2085,286.72,87.35
0265 - Level I Diagnostic and Screening Ultrasound,NC,15395,437.27,82.27
0265 - Level I Diagnostic and Screening Ultrasound,ND,1848,255.91,89.22
0265 - Level I Diagnostic and Screening Ultrasound,NE,2780,401.59,86.5
0265 - Level I Diagnostic and Screening Ultrasound,NH,2797,570.06,96.39
0265 - Level I Diagnostic and Screening Ultrasound,NJ,17505,771.68,101.69
0265 - Level I Diagnostic and Screening Ultrasound,NM,2000,489.71,86.4
0265 - Level I Diagnostic and Screening Ultrasound,NV,1521,423.36,96.26
0265 - Level I Diagnostic and Screening Ultrasound,NY,39457,663.2,96.04
0265 - Level I Diagnostic and Screening Ultrasound,OH,21382,499.32,83.26
0265 - Level I Diagnostic and Screening Ultrasound,OK,8229,537.87,80.85
0265 - Level I Diagnostic and Screening Ultrasound,OR,5981,350.35,95.73
0265 - Level I Diagnostic and Screening Ultrasound,PA,32569,621.47,86.54
0265 - Level I Diagnostic and Screening Ultrasound,RI,2073,450.77,96.85
0265 - Level I Diagnostic and Screening Ultrasound,SC,11947,531.53,81.67
0265 - Level I Diagnostic and Screening Ultrasound,SD,1426,458.31,90.92
0265 - Level I Diagnostic and Screening Ultrasound,TN,16034,527.26,80.1
0265 - Level I Diagnostic and Screening Ultrasound,TX,35321,663.83,83.46
0265 - Level I Diagnostic and Screening Ultrasound,UT,3280,369.97,85.79
0265 - Level I Diagnostic and Screening Ultrasound,VA,17747,623.15,84.3
0265 - Level I Diagnostic and Screening Ultrasound,VT,2172,529.03,91.33
0265 - Level I Diagnostic and Screening Ultrasound,WA,8191,391.21,96.42
0265 - Level I Diagnostic and Screening Ultrasound,WI,7927,490.88,87.35
0265 - Level I Diagnostic and Screening Ultrasound,WV,4452,357.01,79.05
0265 - Level I Diagnostic and Screening Ultrasound,WY,413,400.93,94.24
0267 - Level III Diagnostic and Screening Ultrasound,AK,1614,1130.01,218.52
0267 - Level III Diagnostic and Screening Ultrasound,AL,35757,1137.95,160.72
0267 - Level III Diagnostic and Screening Ultrasound,AR,19443,941.55,162.11
0267 - Level III Diagnostic and Screening Ultrasound,AZ,17888,1748.3,186.16
0267 - Level III Diagnostic and Screening Ultrasound,CA,93181,1921.88,226.11
0267 - Level III Diagnostic and Screening Ultrasound,CO,13838,1430.92,176.92
0267 - Level III Diagnostic and Screening Ultrasound,CT,17025,1168.86,209.3
0267 - Level III Diagnostic and Screening Ultrasound,DC,3418,988.36,169.57
0267 - Level III Diagnostic and Screening Ultrasound,DE,8890,826.25,187.65
0267 - Level III Diagnostic and Screening Ultrasound,FL,76698,1535.04,157.78
0267 - Level III Diagnostic and Screening Ultrasound,GA,52723,1185.31,172.08
0267 - Level III Diagnostic and Screening Ultrasound,HI,2507,802.85,202.76
0267 - Level III Diagnostic and Screening Ultrasound,IA,17106,957.2,172.22
0267 - Level III Diagnostic and Screening Ultrasound,ID,5966,587.54,176.4
0267 - Level III Diagnostic and Screening Ultrasound,IL,80116,1494.38,175.6
0267 - Level III Diagnostic and Screening Ultrasound,IN,37376,1247.37,175.96
0267 - Level III Diagnostic and Screening Ultrasound,KS,15876,1123.6,168.26
0267 - Level III Diagnostic and Screening Ultrasound,KY,30982,1198.35,162.87
0267 - Level III Diagnostic and Screening Ultrasound,LA,26561,941.96,154.21
0267 - Level III Diagnostic and Screening Ultrasound,MA,42265,1014.36,212.5
0267 - Level III Diagnostic and Screening Ultrasound,ME,9348,808.63,176.81
0267 - Level III Diagnostic and Screening Ultrasound,MI,60245,797.6,177.36
0267 - Level III Diagnostic and Screening Ultrasound,MN,22876,839.95,181.87
0267 - Level III Diagnostic and Screening Ultrasound,MO,42281,1166.66,170.22
0267 - Level III Diagnostic and Screening Ultrasound,MS,21497,1162.34,156.41
0267 - Level III Diagnostic and Screening Ultrasound,MT,4344,824.07,187.77
0267 - Level III Diagnostic and Screening Ultrasound,NC,44844,983.57,170.97
0267 - Level III Diagnostic and Screening Ultrasound,ND,7211,638.47,185.1
0267 - Level III Diagnostic and Screening Ultrasound,NE,12027,1196.96,174.53
0267 - Level III Diagnostic and Screening Ultrasound,NH,8967,1144.36,196.41
0267 - Level III Diagnostic and Screening Ultrasound,NJ,53097,1519.74,203.13
0267 - Level III Diagnostic and Screening Ultrasound,NM,6703,1000.72,168.53
0267 - Level III Diagnostic and Screening Ultrasound,NV,6624,1692.74,194.74
0267 - Level III Diagnostic and Screening Ultrasound,NY,54633,1233.36,182.56
0267 - Level III Diagnostic and Screening Ultrasound,OH,76803,1210.04,166.54
0267 - Level III Diagnostic and Screening Ultrasound,OK,27120,1053.15,162.33
0267 - Level III Diagnostic and Screening Ultrasound,OR,11566,966.85,198.26
0267 - Level III Diagnostic and Screening Ultrasound,PA,92112,1602.34,173.98
0267 - Level III Diagnostic and Screening Ultrasound,RI,4875,966.68,188.27
0267 - Level III Diagnostic and Screening Ultrasound,SC,32215,1322.64,168.88
0267 - Level III Diagnostic and Screening Ultrasound,SD,9328,938.32,185.87
0267 - Level III Diagnostic and Screening Ultrasound,TN,37979,1168.06,162.89
0267 - Level III Diagnostic and Screening Ultrasound,TX,85706,1530.76,163.48
0267 - Level III Diagnostic and Screening Ultrasound,UT,5574,766.57,174.38
0267 - Level III Diagnostic and Screening Ultrasound,VA,49340,1161.68,175.67
0267 - Level III Diagnostic and Screening Ultrasound,VT,3357,1102.75,184.48
0267 - Level III Diagnostic and Screening Ultrasound,WA,25164,1047.1,198.18
0267 - Level III Diagnostic and Screening Ultrasound,WI,21307,1110.16,172.46
0267 - Level III Diagnostic and Screening Ultrasound,WV,19216,828.46,162.93
0267 - Level III Diagnostic and Screening Ultrasound,WY,1574,921.68,189.3
0269 - Level I Echocardiogram Without Contrast,AK,1769,2233.9,487
0269 - Level I Echocardiogram Without Contrast,AL,34938,2087.18,360.75
0269 - Level I Echocardiogram Without Contrast,AR,35063,1798.06,374.01
0269 - Level I Echocardiogram Without Contrast,AZ,23803,2640.79,419.06
0269 - Level I Echocardiogram Without Contrast,CA,110211,3724.15,517.02
0269 - Level I Echocardiogram Without Contrast,CO,28656,3072.57,408.75
0269 - Level I Echocardiogram Without Contrast,CT,25288,2064.78,479.8
0269 - Level I Echocardiogram Without Contrast,DC,4479,2013.12,401.84
0269 - Level I Echocardiogram Without Contrast,DE,8223,2057.23,419.53
0269 - Level I Echocardiogram Without Contrast,FL,94672,2804.96,382.8
0269 - Level I Echocardiogram Without Contrast,GA,67184,1995.56,385.32
0269 - Level I Echocardiogram Without Contrast,HI,4484,1744.82,453.91
0269 - Level I Echocardiogram Without Contrast,IA,17397,1917.99,390.98
0269 - Level I Echocardiogram Without Contrast,ID,9833,1493.23,401.77
0269 - Level I Echocardiogram Without Contrast,IL,93654,2826.16,406.86
0269 - Level I Echocardiogram Without Contrast,IN,50318,2169.32,397.6
0269 - Level I Echocardiogram Without Contrast,KS,21833,2373.83,384.83
0269 - Level I Echocardiogram Without Contrast,KY,43191,2586.49,372.43
0269 - Level I Echocardiogram Without Contrast,LA,25489,1918.71,364.19
0269 - Level I Echocardiogram Without Contrast,MA,48282,1600.36,492.99
0269 - Level I Echocardiogram Without Contrast,ME,14607,1394.08,405.28
0269 - Level I Echocardiogram Without Contrast,MI,71659,1401.75,404.05
0269 - Level I Echocardiogram Without Contrast,MN,35066,1533.22,431.41
0269 - Level I Echocardiogram Without Contrast,MO,50882,2488.97,385.1
0269 - Level I Echocardiogram Without Contrast,MS,25365,2342.28,359.8
0269 - Level I Echocardiogram Without Contrast,MT,7798,1511.45,423.31
0269 - Level I Echocardiogram Without Contrast,NC,58545,1870.2,381.93
0269 - Level I Echocardiogram Without Contrast,ND,6114,985.21,416.86
0269 - Level I Echocardiogram Without Contrast,NE,15095,2231.84,402.28
0269 - Level I Echocardiogram Without Contrast,NH,13822,2308.21,447.72
0269 - Level I Echocardiogram Without Contrast,NJ,73441,3070.12,464.68
0269 - Level I Echocardiogram Without Contrast,NM,9213,1617.9,401.17
0269 - Level I Echocardiogram Without Contrast,NV,11329,2708.61,442.58
0269 - Level I Echocardiogram Without Contrast,NY,70167,2097.51,439.02
0269 - Level I Echocardiogram Without Contrast,OH,87534,2504.55,386.26
0269 - Level I Echocardiogram Without Contrast,OK,46280,1938.09,374.8
0269 - Level I Echocardiogram Without Contrast,OR,19631,1783.85,443.63
0269 - Level I Echocardiogram Without Contrast,PA,96503,3026.42,398.49
0269 - Level I Echocardiogram Without Contrast,RI,5728,1582.67,451.2
0269 - Level I Echocardiogram Without Contrast,SC,29936,2012.03,378.03
0269 - Level I Echocardiogram Without Contrast,SD,9111,2256.61,417.49
0269 - Level I Echocardiogram Without Contrast,TN,55340,2457.88,367.21
0269 - Level I Echocardiogram Without Contrast,TX,101586,2929.91,381.78
0269 - Level I Echocardiogram Without Contrast,UT,13916,1431.26,395.6
0269 - Level I Echocardiogram Without Contrast,VA,60188,2177.17,391.26
0269 - Level I Echocardiogram Without Contrast,VT,5334,1956.51,427.21
0269 - Level I Echocardiogram Without Contrast,WA,38831,2016.66,445.81
0269 - Level I Echocardiogram Without Contrast,WI,31865,2284.7,407.75
0269 - Level I Echocardiogram Without Contrast,WV,15375,1487.01,364.77
0269 - Level I Echocardiogram Without Contrast,WY,2821,2245.67,422.67
0270 - Level II Echocardiogram Without Contrast,AK,77,4275.76,662.5
0270 - Level II Echocardiogram Without Contrast,AL,1169,3469.84,505.1
0270 - Level II Echocardiogram Without Contrast,AR,2952,1534.3,524.75
0270 - Level II Echocardiogram Without Contrast,AZ,2214,4159.53,589.14
0270 - Level II Echocardiogram Without Contrast,CA,5556,5934.47,730.32
0270 - Level II Echocardiogram Without Contrast,CO,2558,3425.04,572.63
0270 - Level II Echocardiogram Without Contrast,CT,1562,3762.99,679.73
0270 - Level II Echocardiogram Without Contrast,DC,125,4288.54,582.05
0270 - Level II Echocardiogram Without Contrast,DE,625,2702.35,590.57
